Time,Jan,Apr,Jul,Oct
0:00,24.4258,25.64,34.4716,33.6992
0:30,24.2694,26.7918,29.985,34.4342
1:00,24.0576,26.2056,28.9536,34.2922
1:30,23.6418,25.7672,28.087,34.1024
2:00,23.4076,25.343,27.9422,33.955
2:30,23.7684,25.0722,27.5156,33.8972
3:00,23.7094,25.1618,27.0588,34.0748
3:30,23.683,25.4548,27.1718,34.1348
4:00,23.2464,25.257,27.5712,34.6516
4:30,23.6138,25.778,27.4746,35.5472
5:00,24.4202,25.9748,27.4472,36.5764
5:30,25.485,26.0172,27.542,38.1904
6:00,26.5128,26.6678,28.2266,39.788
6:30,27.6128,27.737,30.0228,42.041
7:00,28.6536,29.0794,31.8658,43.173
7:30,30.135,30.5514,33.369,43.5838
8:00,31.8922,31.129,36.344,43.299
8:30,32.7096,33.1062,39.4206,41.719
9:00,33.4972,34.9246,41.3478,39.4258
9:30,34.5018,34.2874,43.4932,36.774
10:00,32.0596,32.2934,44.9348,34.2862
10:30,32.0776,29.884,44.8806,32.9556
11:00,32.2004,29.2192,44.0254,32.7218
11:30,29.8134,29.867,42.9272,32.0502
12:00,28.9838,28.072,43.192,30.2678
12:30,27.339,27.752,40.3594,28.4176
13:00,27.7304,22.7212,38.2316,27.8768
13:30,24.834,22.0008,36.2188,28.303
14:00,22.865,21.8906,35.5924,29.7818
14:30,23.5514,22.2874,38.224,30.5224
15:00,23.6252,22.4292,39.2732,31.248
15:30,22.8236,23.271,40.3806,31.328
16:00,24.011,25.3626,41.6442,33.9188
16:30,25.9054,25.416,43.9664,36.307
17:00,27.811,28.77,46.1788,37.5588
17:30,28.9678,31.2286,49.4842,39.46
18:00,30.1646,34.0242,51.0584,41.1768
18:30,30.7614,37.2136,50.7994,42.8356
19:00,31.2318,37.3974,50.0146,44.6708
19:30,31.4478,37.2256,48.8556,45.629
20:00,31.3912,36.669,47.933,45.0372
20:30,32.1012,35.592,46.4904,44.4808
21:00,31.6398,34.1538,45.3544,43.4968
21:30,30.3208,32.894,43.7334,41.6624
22:00,29.142,31.407,42.1288,39.6576
22:30,28.2916,30.3726,40.5326,37.8088
23:00,26.9788,28.6038,38.7722,36.3234
23:30,25.8746,26.8678,36.6752,34.8844